127.0.0.1 - - [25/Jan/2020:19:47:21 +0200] "GET /dss-demo-webapp-5.5/webjars/bootstrap/3.3.7/js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [25/Jan/2020:19:47:21 +0200] "GET /dss-demo-webapp-5.5/webjars/google-code-prettify/1.0.5/src/run_prettify.js HTTP/1.1" 200 79658
127.0.0.1 - - [25/Jan/2020:19:47:21 +0200] "GET /dss-demo-webapp-5.5/webjars/jquery-ui/1.11.1/jquery-ui.min.js HTTP/1.1" 200 238314
127.0.0.1 - - [25/Jan/2020:19:47:21 +0200] "GET /dss-demo-webapp-5.5/images/dss-logo.png HTTP/1.1" 200 11192
127.0.0.1 - - [25/Jan/2020:19:47:21 +0200] "GET /dss-demo-webapp-5.5/webjars/bootstrap/3.3.7/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [25/Jan/2020:19:48:29 +0200] "POST /dss-demo-webapp-5.5/certificate-validation HTTP/1.1" 200 22244
127.0.0.1 - - [25/Jan/2020:19:48:29 +0200] "GET /dss-demo-webapp-5.5/webjars/jquery-ui/1.11.1/jquery-ui.min.css HTTP/1.1" 200 30163
127.0.0.1 - - [25/Jan/2020:19:48:29 +0200] "GET /dss-demo-webapp-5.5/webjars/bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [25/Jan/2020:19:48:29 +0200] "GET /dss-demo-webapp-5.5/webjars/bootstrap/3.3.7/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
127.0.0.1 - - [25/Jan/2020:19:48:29 +0200] "GET /dss-demo-webapp-5.5/webjars/google-code-prettify/1.0.5/src/prettify.css HTTP/1.1" 200 1570
127.0.0.1 - - [25/Jan/2020:19:48:30 +0200] "GET /dss-demo-webapp-5.5/webjars/jquery-ui/1.11.1/jquery-ui.min.js HTTP/1.1" 200 238314
127.0.0.1 - - [25/Jan/2020:19:48:30 +0200] "GET /dss-demo-webapp-5.5/css/dss.css HTTP/1.1" 200 9845
127.0.0.1 - - [25/Jan/2020:19:48:30 +0200] "GET /dss-demo-webapp-5.5/webjars/jquery/1.11.1/jquery.min.js HTTP/1.1" 200 95821
127.0.0.1 - - [25/Jan/2020:19:48:30 +0200] "GET /dss-demo-webapp-5.5/webjars/bootstrap/3.3.7/js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [25/Jan/2020:19:48:30 +0200] "GET /dss-demo-webapp-5.5/webjars/google-code-prettify/1.0.5/src/run_prettify.js HTTP/1.1" 200 79658
127.0.0.1 - - [25/Jan/2020:19:48:30 +0200] "GET /dss-demo-webapp-5.5/images/dss-logo.png HTTP/1.1" 200 11192
